sample	population	population_proportion
SRR6369656	V11	0.750508
SRR7970013	V7	0.889526
SRR7970014	V7	0.439777
SRR7970015	V7	0.99989
SRR7970016	V7	0.884706
SRR7970017	V7	0.633814
SRR7970018	V10	0.582923
SRR7970019	V7	0.683362
SRR7970020	V7	0.817103
SRR7970021	V7	0.725298
SRR7970022	V7	0.740381
SRR7970023	V11	0.758512
SRR7970024	V10	0.962757
SRR7970025	V10	0.572012
SRR7970026	V10	0.99989
SRR7970027	V7	0.882043
SRR7970028	V2	0.964868
SRR7970029	V7	0.995482
SRR7970030	V2	0.99989
SRR7970031	V7	0.980191
SRR7970032	V7	0.758639
SRR7970033	V6	0.537859
SRR7970034	V7	0.979228
SRR7970035	V7	0.72432
SRR7970036	V7	0.814331
SRR7970037	V7	0.728845
SRR7970038	V7	0.540784
SRR8842312	V6	0.637117
SRR10478767	V6	0.99989
SRR10478768	V2	0.604075
SRR10478769	V6	0.755238
SRR10478770	V6	0.933315
SRR10478771	V6	0.99989
SRR10478772	V6	0.99989
SRR10478773	V6	0.893297
SRR10478774	V6	0.99989
SRR10478775	V6	0.99989
SRR10478776	V6	0.884129
SRR10478777	V6	0.99989
SRR10478778	V6	0.99989
SRR10478779	V6	0.99989
SRR10478780	V6	0.564127
SRR10478781	V6	0.99989
SRR10478782	V6	0.99989
SRR10478783	V6	0.99989
SRR10478784	V6	0.99989
SRR10478786	V6	0.99989
SRR10478787	V6	0.994706
SRR10478788	V6	0.641795
SRR10478789	V6	0.99989
SRR10478790	V6	0.99989
SRR10478792	V6	0.99989
SRR10478793	V6	0.99989
SRR10478795	V6	0.99989
SRR10478796	V6	0.99989
SRR12506670	V10	0.999889
SRR12506671	V11	0.961571
SRR12506672	V11	0.912672
SRR12506673	V11	0.99989
SRR12506674	V1	0.381461
SRR12506677	V6	0.724736
SRR12506678	V9	0.451512
SRR12506679	V9	0.99989
SRR12506680	V9	0.99989
SRR12506681	V9	0.99989
SRR12506682	V9	0.72284
SRR12506683	V11	0.99989
SRR12506684	V9	0.99989
SRR12506685	V9	0.999884
SRR12506686	V9	0.999886
SRR12506687	V9	0.744317
SRR12506688	V9	0.999888
SRR12506689	V9	0.99989
SRR12506690	V10	0.394237
SRR12506691	V6	0.426579
SRR12506692	V10	0.594795
SRR12506693	V10	0.458039
SRR12506694	V11	0.99989
SRR12506695	V10	0.463352
SRR12506696	V10	0.484528
SRR12506697	V10	0.614103
SRR12506698	V11	0.947048
SRR12506699	V11	0.904836
SRR12506700	V11	0.57345
SRR12506701	V10	0.99989
SRR12506702	V10	0.99989
SRR12506703	V10	0.99989
SRR12506705	V11	0.99989
SRR12506706	V10	0.99989
SRR12506707	V10	0.99989
SRR12506708	V10	0.99989
SRR12506709	V10	0.99989
SRR12506710	V10	0.999889
SRR12506711	V10	0.99989
SRR12506712	V11	0.709703
SRR12506713	V11	0.671605
SRR12506714	V11	0.666533
SRR12506715	V10	0.615312
SRR12506716	V11	0.99989
SRR12506718	V10	0.99989
SRR12506719	V10	0.99989
SRR12506720	V10	0.646434
SRR12506721	V10	0.999886
SRR12506722	V10	0.99989
SRR12506723	V10	0.99989
SRR12506724	V10	0.99989
SRR12506725	V10	0.656331
SRR12506726	V10	0.99989
SRR12506727	V2	0.99989
SRR12506728	V7	0.938782
SRR13744648	V6	0.994706
SRR13744637	V6	0.99989
SRR13744626	V6	0.99989
SRR13744615	V6	0.893297
SRR13744604	V6	0.99989
SRR13744593	V6	0.99989
SRR13744680	V6	0.933315
SRR13744679	V6	0.99989
SRR13744678	V6	0.99989
SRR13744677	V6	0.99989
SRR13744676	V6	0.99989
SRR13744675	V6	0.99989
SRR13744674	V6	0.99989
SRR13744673	V6	0.99989
SRR13744672	V6	0.99989
SRR13744671	V6	0.99989
SRR13744669	V6	0.970345
SRR13744668	V6	0.99989
SRR13744667	V6	0.99989
SRR13744666	V6	0.99989
SRR13744665	V6	0.999886
SRR13744664	V6	0.564127
SRR13744663	V6	0.99989
SRR13744662	V6	0.99989
SRR13744661	V6	0.99989
SRR13744660	V6	0.99989
SRR13744658	V6	0.651853
SRR13744657	V6	0.99989
SRR13744656	V6	0.99989
SRR13744655	V6	0.618371
SRR13744654	V6	0.99988
SRR13744653	V6	0.999888
SRR13744652	V6	0.99989
SRR13744651	V6	0.964542
SRR13744650	V6	0.99989
SRR13744649	V6	0.99989
SRR13744647	V6	0.99989
SRR13744646	V6	0.99989
SRR13744645	V6	0.99989
SRR13744644	V6	0.864779
SRR13744643	V6	0.99989
SRR13744642	V6	0.99989
SRR13744641	V6	0.956556
SRR13744682	V2	0.99989
SRR13744681	V7	0.702781
SRR13744670	V7	0.665337
SRR13744659	V6	0.576315
SRR13744640	V7	0.888548
SRR13744639	V7	0.84489
SRR13744638	V7	0.999889
SRR13744636	V7	0.99989
SRR13744635	V7	0.99989
SRR13744634	V7	0.99989
SRR13744633	V7	0.99989
SRR13744632	V7	0.723375
SRR13744631	V2	0.864533
SRR13744630	V7	0.99989
SRR13744629	V7	0.99989
SRR13744628	V2	0.99989
SRR13744627	V6	0.549519
SRR13744625	V2	0.99989
SRR13744624	V2	0.653613
SRR13744623	V7	0.755014
SRR13744621	V7	0.942402
SRR13744620	V7	0.693715
SRR13744619	V7	0.99989
SRR13744618	V2	0.99989
SRR13744617	V7	0.99989
SRR13744614	V2	0.604085
SRR13744613	V7	0.651455
SRR13744612	V7	0.99989
SRR13744611	V7	0.672328
SRR13744610	V7	0.999887
SRR13744609	V11	0.444493
SRR13744608	V7	0.99989
SRR13744607	V7	0.99989
SRR13744606	V7	0.99989
SRR13744605	V7	0.999887
SRR13744603	V7	0.99989
SRR13744602	V7	0.783295
SRR13744601	V6	0.587177
SRR13744600	V7	0.659165
SRR13744599	V7	0.99989
SRR13744598	V11	0.605973
SRR13744597	V7	0.926365
SRR13744596	V7	0.643058
SRR13744595	V7	0.492467
SRR13744594	V2	0.99989
SRR13744592	V7	0.914761
SRR13744591	V2	0.626579
SRR13744590	V7	0.841474
SRR16972343	V7	0.99989
SRR16972342	V7	0.675037
SRR16972341	V6	0.50544
SRR16972340	V7	0.854413
SRR16972339	V7	0.903171
SRR16972338	V7	0.99989
SRR16972337	V7	0.99989
SRR16972335	V7	0.859023
SRR16972311	V7	0.953724
SRR16972312	V2	0.615459
SRR16972313	V7	0.76222
SRR16972314	V7	0.99989
