sample	population	population_label
SRR20748410	10	Brazil-Paraguay Major Cluster
SRR20748408	10	Brazil-Paraguay Major Cluster
SRR20748407	10	Brazil-Paraguay Major Cluster
SRR20748406	11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR20748403	10	Brazil-Paraguay Major Cluster
SRR20748402	6	Southern Cone Major Cluster (Brazil, Uruguay)
SRR20748401	12	Brazil, Honduras & Panama Major Cluster 2
SRR20748399	12	Brazil, Honduras & Panama Major Cluster 2
SRR20748398	12	Brazil, Honduras & Panama Major Cluster 2
SRR20748396	10	Brazil-Paraguay Major Cluster
SRR20748395	12	Brazil, Honduras & Panama Major Cluster 2
SRR20748393	11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR20748392	11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR20748391	11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR20748390	11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR20748388	11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR20748387	11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR20748386	11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR20748352	11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR20748351	11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR20748350	11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR20748349	6	Southern Cone Major Cluster (Brazil, Uruguay)
SRR20748347	11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR20748345	11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR20748344	11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR20748343	6	Southern Cone Major Cluster (Brazil, Uruguay)
SRR20748342	11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR20748341	11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR20748340	11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR20748459	6	Southern Cone Major Cluster (Brazil, Uruguay)
SRR20748455	12	Brazil, Honduras & Panama Major Cluster 2
